slug,market_id,entry_ts,direction,entry_price,fill_price,entry_btc_spot,final_btc_price,btc_price_to_beat,yes_won,fee_rate,payout,fee,pnl,outcome,signal_score,signal_confidence,signal_count,fee_regime
btc-updown-15m-1764160200,703050,1764160990,LONG,0.975,0.985,86610.0,0.0,0.0,True,0.0,0.0152284263959391,0.0,0.0152284263959391,WIN,92.04588910133843,0.7768229166666667,3,no-fee
btc-updown-15m-1764161100,703054,1764161886,LONG,0.885,0.89,86641.98,0.0,0.0,True,0.0,0.12359550561797751,0.0,0.12359550561797751,WIN,87.12871287128714,0.775,2,no-fee
btc-updown-15m-1764162900,703109,1764163688,LONG,0.995,0.9999,86713.5,0.0,0.0,True,0.0,0.000100010001000089,0.0,0.000100010001000089,WIN,92.10626185958255,0.7820312500000001,3,no-fee
btc-updown-15m-1764163800,703114,1764164597,LONG,0.995,0.9999,86982.01,0.0,0.0,True,0.0,0.000100010001000089,0.0,0.000100010001000089,WIN,87.12871287128714,0.775,2,no-fee
btc-updown-15m-1764164700,703119,1764165487,LONG,0.835,0.84,87036.89,0.0,0.0,True,0.0,0.19047619047619052,0.0,0.19047619047619052,WIN,87.12871287128714,0.775,2,no-fee
btc-updown-15m-1764165600,703129,1764166386,LONG,0.965,0.97,87292.73,0.0,0.0,True,0.0,0.03092783505154642,0.0,0.03092783505154642,WIN,87.12871287128714,0.775,2,no-fee
btc-updown-15m-1764167400,703170,1764168188,LONG,0.885,0.895,87237.83,0.0,0.0,False,0.0,-1.0,0.0,-1.0,LOSS,91.76237623762377,0.7533854166666667,3,no-fee
btc-updown-15m-1764168300,703180,1764169089,SHORT,0.015,0.0049999999999999906,86889.25,0.0,0.0,False,0.0,0.005025125628140694,0.0,0.005025125628140694,WIN,100.0,0.775,2,no-fee
btc-updown-15m-1764169200,703255,1764169987,LONG,0.965,0.975,87029.98,0.0,0.0,True,0.0,0.025641025641025664,0.0,0.025641025641025664,WIN,92.01535508637237,0.7742187500000001,3,no-fee
btc-updown-15m-1764170100,703308,1764170901,LONG,0.995,0.9999,87246.93,0.0,0.0,True,0.0,0.000100010001000089,0.0,0.000100010001000089,WIN,87.12871287128714,0.775,2,no-fee
btc-updown-15m-1764171000,703320,1764171788,SHORT,0.015,0.009999999999999995,86964.01,0.0,0.0,False,0.0,0.010101010101010097,0.0,0.010101010101010097,WIN,100.0,0.7794270833333333,3,no-fee
btc-updown-15m-1764171900,703365,1764172686,LONG,0.655,0.665,86845.74,0.0,0.0,True,0.0,0.5037593984962405,0.0,0.5037593984962405,WIN,87.12871287128714,0.775,2,no-fee
btc-updown-15m-1764172800,703375,1764173589,LONG,0.995,0.9999,87513.6,0.0,0.0,True,0.0,0.000100010001000089,0.0,0.000100010001000089,WIN,87.12871287128714,0.775,2,no-fee
btc-updown-15m-1764173700,703433,1764174486,LONG,0.845,0.85,87591.9,0.0,0.0,True,0.0,0.17647058823529416,0.0,0.17647058823529416,WIN,100.0,0.65,1,no-fee
btc-updown-15m-1764174600,703501,1764175388,LONG,0.945,0.95,87702.66,0.0,0.0,True,0.0,0.052631578947368474,0.0,0.052631578947368474,WIN,85.61927054676352,0.7207890743550831,2,no-fee
btc-updown-15m-1764175500,703511,1764176288,LONG,0.995,0.9999,87818.91,0.0,0.0,True,0.0,0.000100010001000089,0.0,0.000100010001000089,WIN,87.12871287128714,0.775,2,no-fee
btc-updown-15m-1764176400,703662,1764177189,LONG,0.985,0.99,87895.99,0.0,0.0,True,0.0,0.01010101010101011,0.0,0.01010101010101011,WIN,87.12871287128714,0.775,2,no-fee
btc-updown-15m-1764177300,703684,1764178087,LONG,0.995,0.9999,88691.8,0.0,0.0,True,0.0,0.000100010001000089,0.0,0.000100010001000089,WIN,87.12871287128714,0.775,2,no-fee
btc-updown-15m-1764178200,703699,1764178989,LONG,0.995,0.9999,89306.69,0.0,0.0,True,0.0,0.000100010001000089,0.0,0.000100010001000089,WIN,86.32354900306409,0.7445938047925191,2,no-fee
btc-updown-15m-1764179100,703729,1764179888,LONG,0.995,0.9999,89935.27,0.0,0.0,True,0.0,0.000100010001000089,0.0,0.000100010001000089,WIN,87.0677501083004,0.7725653206650831,2,no-fee
btc-updown-15m-1764180000,703771,1764180789,LONG,0.935,0.9400000000000001,90014.31,0.0,0.0,True,0.0,0.06382978723404249,0.0,0.06382978723404249,WIN,87.12871287128714,0.775,2,no-fee
btc-updown-15m-1764180900,703817,1764181686,LONG,0.995,0.9999,90283.89,0.0,0.0,True,0.0,0.000100010001000089,0.0,0.000100010001000089,WIN,87.12871287128714,0.775,2,no-fee
btc-updown-15m-1764181800,703825,1764182588,SHORT,0.005,0.0001,89820.04,0.0,0.0,False,0.0,0.00010001000100010001,0.0,0.00010001000100010001,WIN,100.0,0.775,2,no-fee
btc-updown-15m-1764182700,703887,1764183488,LONG,0.995,0.9999,90134.03,0.0,0.0,True,0.0,0.000100010001000089,0.0,0.000100010001000089,WIN,92.10626185958255,0.7820312500000001,3,no-fee
btc-updown-15m-1764183600,703945,1764184389,SHORT,0.005,0.0001,89785.29,0.0,0.0,False,0.0,0.00010001000100010001,0.0,0.00010001000100010001,WIN,100.0,0.7820312500000001,3,no-fee
btc-updown-15m-1764184500,703974,1764185286,SHORT,0.215,0.21,89818.86,0.0,0.0,False,0.0,0.26582278481012656,0.0,0.26582278481012656,WIN,100.0,0.775,2,no-fee
btc-updown-15m-1764185400,703999,1764186188,LONG,0.975,0.98,89874.33,0.0,0.0,True,0.0,0.02040816326530614,0.0,0.02040816326530614,WIN,92.04588910133843,0.7768229166666667,3,no-fee
btc-updown-15m-1764186300,704024,1764187088,LONG,0.905,0.92,89981.8,0.0,0.0,True,0.0,0.08695652173913039,0.0,0.08695652173913039,WIN,87.12871287128714,0.775,2,no-fee
btc-updown-15m-1764187200,704073,1764187988,SHORT,0.365,0.36,89954.63,0.0,0.0,True,0.0,-1.0,0.0,-1.0,LOSS,100.0,0.6058059587471352,2,no-fee
btc-updown-15m-1764189000,704112,1764189786,SHORT,0.015,0.009999999999999995,89726.44,0.0,0.0,False,0.0,0.010101010101010097,0.0,0.010101010101010097,WIN,100.0,0.775,2,no-fee
